size  rank  host  max_eigen_value
288 0 cn41 NaN
288 123 cn54 7.468302 
288 168 cn55 8.944111 
288 248 cn57 9.110083 
288 194 cn56 8.596324 
288 76 cn53 9.620212 
288 37 cn41 8.259116 
288 101 cn54 5.642717 
288 23 cn41 8.198273 
288 132 cn54 10.04775 
288 15 cn41 8.58579 
288 137 cn54 7.254338 
288 38 cn41 8.803919 
288 103 cn54 7.254184 
288 41 cn41 6.507966 
288 98 cn54 4.588931 
288 44 cn41 6.837532 
288 105 cn54 8.933346 
288 20 cn41 7.404506 
288 133 cn54 7.238553 
288 31 cn41 7.186177 
288 99 cn54 7.637072 
288 25 cn41 5.621628 
288 135 cn54 9.21103 
288 7 cn41 6.281562 
288 129 cn54 11.87856 
288 24 cn41 8.357526 
288 122 cn54 6.760037 
288 19 cn41 7.374485 
288 114 cn54 9.090561 
288 30 cn41 7.73197 
288 130 cn54 7.109245 
288 45 cn41 7.121264 
288 128 cn54 8.509858 
288 1 cn41 8.301762 
288 138 cn54 6.782151 
288 2 cn41 9.036711 
288 119 cn54 10.75038 
288 5 cn41 7.66296 
288 134 cn54 7.542418 
288 9 cn41 6.436141 
288 141 cn54 6.241793 
288 26 cn41 6.398834 
288 143 cn54 8.845318 
288 8 cn41 9.901227 
288 118 cn54 6.732482 
288 11 cn41 9.622403 
288 113 cn54 6.795577 
288 28 cn41 5.264495 
288 111 cn54 6.51583 
288 21 cn41 8.369266 
288 100 cn54 7.55045 
288 14 cn41 6.885031 
288 140 cn54 8.739054 
288 29 cn41 6.727894 
288 109 cn54 11.49871 
288 35 cn41 7.498297 
288 120 cn54 6.308548 
288 39 cn41 8.630714 
288 139 cn54 6.717505 
288 3 cn41 7.263534 
288 125 cn54 8.264806 
288 34 cn41 5.857399 
288 108 cn54 8.910973 
288 4 cn41 6.250217 
288 97 cn54 7.291995 
288 6 cn41 8.507491 
288 131 cn54 7.307273 
288 10 cn41 8.87162 
288 121 cn54 5.890754 
288 12 cn41 9.126649 
288 107 cn54 7.170954 
288 13 cn41 9.925976 
288 126 cn54 10.77962 
288 16 cn41 6.255853 
288 102 cn54 6.988953 
288 17 cn41 8.029113 
288 104 cn54 7.802823 
288 22 cn41 6.977662 
288 117 cn54 7.193378 
288 27 cn41 6.61702 
288 136 cn54 7.138737 
288 33 cn41 5.892391 
288 127 cn54 6.456235 
288 36 cn41 7.778344 
288 112 cn54 8.288509 
288 40 cn41 7.057742 
288 110 cn54 7.01058 
288 42 cn41 8.208673 
288 96 cn54 5.911424 
288 43 cn41 6.113744 
288 115 cn54 6.639066 
288 46 cn41 7.845063 
288 142 cn54 7.426329 
288 47 cn41 6.529548 
288 124 cn54 8.983932 
288 32 cn41 7.901776 
288 116 cn54 7.310161 
288 18 cn41 7.747938 
288 106 cn54 7.040335 
288 144 cn55 9.233081 
288 146 cn55 7.224947 
288 147 cn55 5.796455 
288 148 cn55 8.566405 
288 151 cn55 6.975903 
288 153 cn55 7.465129 
288 154 cn55 6.336232 
288 155 cn55 6.773266 
288 156 cn55 8.884238 
288 157 cn55 8.311036 
288 161 cn55 6.831492 
288 162 cn55 7.825149 
288 164 cn55 6.625812 
288 165 cn55 8.059674 
288 166 cn55 7.096148 
288 167 cn55 6.442694 
288 169 cn55 6.965294 
288 170 cn55 7.475407 
288 171 cn55 8.710418 
288 172 cn55 8.608526 
288 174 cn55 8.139771 
288 175 cn55 8.067922 
288 176 cn55 7.613409 
288 178 cn55 9.271103 
288 179 cn55 6.310872 
288 180 cn55 6.340262 
288 183 cn55 7.881725 
288 184 cn55 6.808794 
288 187 cn55 7.140027 
288 188 cn55 10.09337 
288 190 cn55 7.436024 
288 191 cn55 7.444757 
288 149 cn55 7.809048 
288 181 cn55 8.207855 
288 160 cn55 7.309989 
288 177 cn55 9.059591 
288 145 cn55 8.702892 
288 185 cn55 5.997441 
288 158 cn55 6.96787 
288 182 cn55 6.8605 
288 163 cn55 6.455094 
288 150 cn55 7.767959 
288 189 cn55 6.399964 
288 159 cn55 8.514964 
288 186 cn55 8.668612 
288 173 cn55 6.758612 
288 152 cn55 6.095941 
288 266 cn57 6.121498 
288 243 cn57 7.063035 
288 257 cn57 8.786592 
288 284 cn57 5.681436 
288 273 cn57 7.68464 
288 241 cn57 7.028981 
288 249 cn57 6.777836 
288 250 cn57 8.517362 
288 274 cn57 6.513689 
